39; 10; query_16.fa; 1071882.fa;vsearch
57; 5; query_16.fa; 1071882.fa;vsearch
56; 5; query_1.fa; 1071882.fa;vsearch
37; 10; query_1.fa; 1071882.fa;vsearch
202; 1; query_16.fa; 1071882.fa;vsearch
203; 1; query_1.fa; 1071882.fa;vsearch
55; 5; query_8.fa; 1071882.fa;vsearch
37; 10; query_8.fa; 1071882.fa;vsearch
26; 1; query_16.fa; 138959.fa;vsearch
8; 5; query_16.fa; 138959.fa;vsearch
5; 10; query_16.fa; 138959.fa;vsearch
7; 5; query_1.fa; 138959.fa;vsearch
5; 10; query_1.fa; 138959.fa;vsearch
26; 1; query_1.fa; 138959.fa;vsearch
7; 5; query_8.fa; 138959.fa;vsearch
25; 1; query_8.fa; 138959.fa;vsearch
5; 10; query_8.fa; 138959.fa;vsearch
1; 5; query_16.fa; 14624.fa;vsearch
0; 10; query_16.fa; 14624.fa;vsearch
3; 1; query_16.fa; 14624.fa;vsearch
1; 5; query_1.fa; 14624.fa;vsearch
0; 10; query_1.fa; 14624.fa;vsearch
2; 1; query_1.fa; 14624.fa;vsearch
0; 5; query_8.fa; 14624.fa;vsearch
0; 10; query_8.fa; 14624.fa;vsearch
3; 1; query_8.fa; 14624.fa;vsearch
1; 5; query_16.fa; 23784.fa;vsearch
1; 10; query_16.fa; 23784.fa;vsearch
5; 1; query_16.fa; 23784.fa;vsearch
2; 5; query_1.fa; 23784.fa;vsearch
1; 10; query_1.fa; 23784.fa;vsearch
5; 1; query_1.fa; 23784.fa;vsearch
1; 5; query_8.fa; 23784.fa;vsearch
0; 10; query_8.fa; 23784.fa;vsearch
5; 1; query_8.fa; 23784.fa;vsearch
201; 1; query_8.fa; 1071882.fa;vsearch
16; 5; query_16.fa; 307977.fa;vsearch
11; 10; query_16.fa; 307977.fa;vsearch
16; 5; query_1.fa; 307977.fa;vsearch
10; 10; query_1.fa; 307977.fa;vsearch
57; 1; query_16.fa; 307977.fa;vsearch
15; 5; query_8.fa; 307977.fa;vsearch
57; 1; query_1.fa; 307977.fa;vsearch
10; 1; query_16.fa; 50597.fa;vsearch
10; 10; query_8.fa; 307977.fa;vsearch
2; 10; query_16.fa; 50597.fa;vsearch
3; 5; query_16.fa; 50597.fa;vsearch
2; 5; query_1.fa; 50597.fa;vsearch
1; 10; query_1.fa; 50597.fa;vsearch
9; 1; query_1.fa; 50597.fa;vsearch
2; 5; query_8.fa; 50597.fa;vsearch
1; 10; query_8.fa; 50597.fa;vsearch
9; 1; query_8.fa; 50597.fa;vsearch
57; 1; query_8.fa; 307977.fa;vsearch
19; 10; query_16.fa; 535941.fa;vsearch
28; 5; query_16.fa; 535941.fa;vsearch
27; 5; query_1.fa; 535941.fa;vsearch
18; 10; query_1.fa; 535941.fa;vsearch
102; 1; query_16.fa; 535941.fa;vsearch
101; 1; query_1.fa; 535941.fa;vsearch
27; 5; query_8.fa; 535941.fa;vsearch
17; 10; query_8.fa; 535941.fa;vsearch
100; 1; query_8.fa; 535941.fa;vsearch
